HP:0000002|Abnormality of body height|身高异常|偏离年龄和性别标准的身高正常值范围。
HP:6000320|Failure to elevate ammonia on ischemic exercise|缺血性运动试验中氨水平未能升高|正常受试者在缺血运动试验后显示血液中氨浓度增加。该术语指的是氨的增加低于正常下限。
HP:6000321|Labile Hypertension|不稳定性高血压|血压在正常与高水平之间频繁波动，变化幅度较正常情况更为显著。
HP:6000322|Absent axon flare response after intradermal histamine injection|皮内注射组胺后轴突反射性红斑反应缺失|轴突反射（也称为泛红反应）是一种由身体外周神经刺激的反应，该反应从神经细胞体传出并分支以刺激靶器官。在人类皮肤中，有三种不同的现象由轴突反射机制介导；泛红、出汗和立毛。在人类皮肤上划痕或皮内注射组胺或P物质会引起广泛的血管扩张（泛红）和血浆外渗（风团）。该术语指的是皮内注射组胺未能引发泛红。
HP:6000323|Reduced sympathoneural responses to the cold pressor test|冷加压试验中交感神经反应减弱|对冷加压试验的反应低于正常下限。冷加压试验是一种简单且经过验证的测试，受试者将一只手或一只脚浸入冰水中1至3分钟，同时监测血压（BP）和心率。冷刺激激活传入感觉通路，进而触发交感神经反应，导致血压升高。
HP:6000324|Positive stool Giardia antigen test|粪便贾第虫抗原检测阳性|粪便分析显示贾第虫抗原异常。检测方法包括直接荧光抗体法（DFA），用于检测完整病原体，以及酶免疫分析法（EIA），用于检测可溶性粪便抗原。
HP:6000325|Excessive blood loss during delivery|Postpartum hemorrhage (PPH)|分娩期间大量失血（某些定义规定为1000毫升或更多），通常伴随低血压、心动过速、头晕、眩晕、疲劳和虚弱等临床表现。
HP:6000326|Cardiac valve vegetations|心脏瓣膜赘生物|心内膜炎感染发生在心脏瓣膜边缘。心脏内皮损伤后，血小板和纤维蛋白沉积形成无菌性病变，称为非细菌性血栓性心内膜炎（NBTE）或赘生物。通过常规或侵入性操作进入血流的微生物附着于赘生物，并被纤维蛋白和血小板的外层网状结构包裹。随后，在宿主防御受损的保护区域内，微生物迅速繁殖，导致赘生物生长和持续性菌血症。
HP:6000327|Thoracic cage flatness|胸廓扁平|在侧位X光片上，胸廓的前后径通常较正位X光片上的胸廓宽度相对狭窄。
HP:6000328|Absent zona pellucida|透明带缺失|卵母细胞外基质区域（透明带）缺失。该特征可在卵泡抽吸（为生育治疗获取卵子）后观察到。
HP:6000329|Umbilical cord prolapse|脐带脱垂|脐带（Umbilical Cord, UC）位于胎儿先露部与宫颈之间，无论胎膜状态（完整或破裂）。脐带通过宫颈下降是诊断脐带脱垂的关键。脐带脱垂可分为显性（超过先露部）或隐性（伴随先露部）。
HP:6000330|Increased ratio of deoxypyridinoline to pyridinoline cross-links in urine|尿液中脱氧吡啶诺林与吡啶诺林交联比值升高|尿液中脱氧吡啶啉（Deoxypyridinoline, Dpyr）与吡啶啉（Pyridinoline, Pyr）交联物的相对浓度高于正常上限。
HP:6000331|Elevated urinary thymine level|尿胸腺嘧啶水平升高|尿液中胸腺嘧啶含量经尿液浓度校正后高于正常值上限。
HP:6000332|Elevated urinary indoleacetic acid level|尿中吲哚乙酸水平升高|尿液中吲哚乙酸的浓度，经尿液浓度校正后，高于正常上限值。
HP:6000333|Reduced hepatic phosphorylase kinase activity|肝磷酸化酶激酶活性降低|肝组织中磷酸化酶激酶活性低于正常值下限。磷酸化酶激酶（Phosphorylase Kinase, PhK）在糖原分解过程中起主要调节作用。该酶PhK由四个亚基各四个拷贝组成，分别由PHKA1、PHKA2、PHKB和PHKG基因编码。
HP:6000334|Reduced hepatic ornithine transcarbamylase activity|肝鸟氨酸氨甲酰转移酶活性降低|肝脏中鸟氨酸氨甲酰基转移酶活性或浓度低于正常下限。
HP:6000335|Elevated urinary quinolinic acid level|尿液中喹啉酸水平升高|尿液中喹啉酸的含量，经尿液浓度校正后，高于正常上限。喹啉酸是一种吡啶二羧酸，其吡啶环在2位和3位被羧基取代。它是色氨酸的代谢产物。
HP:6000336|Rectal duplication|直肠重复畸形|一种发育异常，其特征为存在额外的直肠，通常内衬肠黏膜，黏膜下层和平滑肌层上覆盖有一种或多种胃肠道细胞类型。
HP:6000337|Thinned small intestinal mucosa|小肠黏膜变薄|小肠黏膜高度异常降低。黏膜排列成规则的环形皱襞（Kerckrin环形瓣），黏膜表面覆盖有称为绒毛的小突起，绒毛为细长、约1.5-2毫米长的黏膜向管腔内的突起。绒毛之间为隐窝。此术语指这些结构的病理性变薄。
HP:6000338|Seminal vesicle hypoplasia|精囊发育不全|一种先天性异常，其特征为单侧或双侧精囊发育不全。精囊是储存并产生构成精液大部分液体的两个小腺体。
HP:6000339|Small fetal abdominal circumference|胎儿腹围偏小|胎儿腹围（Abdominal Circumference, AC）低于正常值下限，通常通过产前超声检查（Prenatal Sonography）测量。
HP:6000340|Prenatal flattened diaphragm|产前膈肌扁平|膈肌通常向胸腔内凸起。在存在畸形（如肺脏增大）的情况下，膈肌可能呈现异常平坦甚至外翻（膈肌中部向腹腔内凹陷）。
HP:6000341|Snowflake effect in amniotic cavity|羊膜腔雪花效应|羊水中密集的漂浮颗粒，形似雪花。此发现可能由表皮脱落引起，如见于鱼鳞病中的丑角样鱼鳞病。
HP:6000342|Thickened mitral valve cusp|二尖瓣瓣叶增厚|二尖瓣瓣叶异常增厚。
HP:6000343|Antiparietal cell antibody positivity|抗壁细胞抗体阳性|血清中存在针对壁细胞抗原的自身抗体（免疫球蛋白）。
HP:6000344|Anti-intrinsic factor antibody positivity|抗内因子抗体阳性|血液循环中存在针对内因子的自身抗体（免疫球蛋白）。
HP:6000345|Anti-human immunodeficiency virus antibody positivity|抗人类免疫缺陷病毒抗体阳性|血液循环中存在针对人类免疫缺陷病毒（HIV）某一成分的抗体。
HP:6000346|Anti-polio virus antibody positivity|抗脊髓灰质炎病毒抗体阳性|血液循环中存在针对脊髓灰质炎病毒成分的抗体。
HP:6000347|Anti-NR2A antibody positivity|抗NR2A抗体阳性|血液循环中存在针对N-甲基-D-天冬氨酸（NMDA）受体NR2A亚基的自身抗体（免疫球蛋白）。
HP:6000348|Antistreptolysin O antibody positivity|抗链球菌溶血素O抗体阳性|血液中存在针对链球菌溶血素O的抗体。
HP:6000349|Reduced tissue tissue AICAR transformylase activity|组织AICAR转甲酰酶活性降低|组织中5-氨基咪唑-4-甲酰胺核糖核苷酸甲酰转移酶（EC 2.1.2.3）的浓度或活性低于正常下限。
HP:6000350|Ameliorated by gastric acid-reducing therapy|胃酸减少治疗后症状改善|适用于通过使用减少胃酸分泌的药物治疗而得到改善或缓解的体征或症状，这些药物包括质子泵抑制剂、组胺受体阻滞剂、奥美拉唑、埃索美拉唑、右兰索拉唑、泮托拉唑、兰索拉唑、法莫替丁或雷尼替丁。
HP:6000351|Anti-coagulation factor antibody positivity|抗凝因子抗体阳性|循环血液中存在针对凝血因子的抗体。
HP:6000352|Tachyphagia|快速进食症|Rapid ingestion of nutrients.
HP:6000353|Reduced tissue argininosuccinate synthetase activity|组织精氨琥珀酸合成酶活性降低|精氨酸琥珀酸合成酶（EC 6.3.4.5）在人体组织中的浓度低于正常下限。临床上，精氨酸琥珀酸合成酶的测定通常在肝脏或培养的皮肤成纤维细胞中进行。
HP:6000354|Reduced aspartoacylase activity in cultured fibroblasts|培养的成纤维细胞中天冬氨酸酰化酶活性降低|培养的成纤维细胞中天冬氨酸酰化酶活性低于正常下限。天冬氨酸酰化酶（EC 3.5.1.15），也称为氨基酰化酶-2，是一种将N-乙酰-L-天冬氨酸（NAA）水解为天冬氨酸和乙酸盐的酶。
HP:6000355|Reduced malonyl-CoA decarboxylase activity in cultured fibroblasts|培养的成纤维细胞中丙二酰辅酶A脱羧酶活性降低|成纤维细胞培养物中丙二酰辅酶A脱羧酶（EC 4.1.1.9）活性低于正常下限。
HP:6000356|Reduced tissue medium-chain acyl-CoA dehydrogenase activity|组织中的中链酰基辅酶A脱氢酶活性降低|组织中中链酰基辅酶A脱氢酶（EC 1.3.8.7；MCAD）的浓度或活性低于正常下限。
HP:6000357|Reduced cystathionine beta-synthase activity in cultured fibroblasts|培养的成纤维细胞中胱硫醚β-合酶活性降低|培养的成纤维细胞中胱硫醚β-合酶（EC 4.2.1.22）活性低于正常下限。
HP:6000358|Reduced muscle glycogen phosphorylase activity|肌肉糖原磷酸化酶活性降低|肌肉组织中糖原磷酸化酶的活性低于正常下限。糖原磷酸化酶（EC 2.4.1.1）也称为淀粉磷酸化酶、肌肉磷酸化酶a和b、多磷酸化酶以及肌磷酸化酶。
HP:6000359|Reduced muscle 6-phosphofructokinase activity|肌肉6-磷酸果糖激酶活性降低|肌肉组织中6-磷酸果糖激酶的活性低于正常下限。6-磷酸果糖激酶（EC 2.7.1.11）也被称为磷酸果糖激酶I和磷酸己糖激酶。PFKM基因编码磷酸果糖激酶的肌肉同工酶。PFK催化果糖-6-磷酸不可逆地转化为果糖-1,6-二磷酸，是糖酵解中的关键调节酶。
HP:6000360|Reduced tissue alpha-N-acetylglucosaminidase activity|组织α-N-乙酰氨基葡萄糖苷酶活性降低|α-N-乙酰氨基葡萄糖苷酶（EC 3.2.1.50）的浓度或活性低于正常下限。该酶可在多种组织中检测，包括白细胞和培养的成纤维细胞。该酶也称为α-乙酰氨基葡萄糖苷酶、N-乙酰-α-D-氨基葡萄糖苷酶、N-乙酰-α-氨基葡萄糖苷酶和α-D-2-乙酰氨基-2-脱氧葡萄糖苷酶。
HP:6000361|Reduced succinyl-CoA:3-oxoacid-CoA transferase activity in cultured fibroblasts|培养的成纤维细胞中琥珀酰辅酶A:3-酮酸辅酶A转移酶活性降低|成纤维细胞培养中琥珀酰辅酶A:3-氧代酸辅酶A转移酶（SCOT，或OXCT1；EC 2.8.3.5）活性低于正常下限。
HP:6000362|Blunted aldosterone response to aldosterone suppression test|醛固酮抑制试验中醛固酮反应钝化|一种不可抑制的醛固酮过多症，定义为四种抑制试验中任意一种的异常结果。这些试验通过口服钠负荷、口服氟氢可的松、口服卡托普利或盐水输注来抑制醛固酮分泌。
HP:6000363|Flank mass|侧腹肿块|腰部异常增大或肿胀，即位于肋骨与髋部之间的身体侧面的软组织区域。
HP:6000364|Synovial cyst|滑膜囊肿|滑膜囊肿是一种充满液体的囊状或袋状肿块，是关节、腱鞘或滑囊中预先存在的滑囊的扩张。滑膜囊肿内含滑液，并由滑膜衬里。
HP:6000365|Brown pigmentation of the conjunctiva|结膜棕色色素沉着|结膜棕色色素沉着。
HP:6000366|Gastrocnemius contracture|腓肠肌挛缩|步态中期同时踝背屈和膝伸展受限。
HP:6000367|Central thinning of the outer nuclear layer of the retina|视网膜外核层中央变薄|视网膜中部区域外核层厚度减少。视网膜外核层（ONL）包含视锥细胞和视杆细胞的细胞核。这些细胞核中细胞器的丧失会导致不可逆的感光细胞损失及视觉功能丧失。这一特征可通过定向光学相干断层扫描（OCT）观察到。
HP:6000368|Sonographic renal salt and pepper pattern|超声肾脏盐和胡椒样模式|异质性增强的实质回声。此影像表现由多个小于或接近检测所需大小的微小囊肿引起，这些囊肿干扰了回声模式而无法清晰区分，并在肾脏超声中表现为白色颗粒，主要位于包膜下区域。
HP:6000369|Ductus venosus agenesis with intrahepatic drainage|静脉导管缺如伴肝内引流|一种静脉导管缺失症（ductus venosus agenesis）的变异形式，其中脐静脉（umbilical vein）通过门静脉窦（portal sinus）与门静脉系统（portal venous system, PVS）相连，而未形成静脉导管（ductus venosus）。在某些病例中，产前可检测到从门静脉到肝静脉（hepatic vein）的肝内分流（intrahepatic shunt）。据报道，该变异形式预后良好。
HP:6000370|Ductus venosus agenesis with extrahepatic drainage and liver bypass|静脉导管缺如伴肝外引流及肝脏旁路|一种静脉导管发育不全的形式，其中脐静脉未与门静脉系统连接。肝脏被绕过，脐静脉引流至体循环静脉如下腔静脉。据报道，由于推测与充血性心力衰竭和水肿相关，此变异型预后不良。
HP:6000371|Elevated circulating D-glyceric concentration|循环中D-甘油酸浓度升高|血液循环中D-甘油酸浓度高于正常值上限。
HP:6000372|Elevated CSF D-glyceric acid concentration|脑脊液D-甘油酸浓度升高|脑脊液（CSF）中D-羧酸浓度高于正常值上限。
HP:6000373|Ameliorated by riboflavin|核黄素改善|适用于通过摄入核黄素（维生素B2）而改善或缓解的体征或症状。
HP:6000374|Increased circulating interleukin 1beta concentration|循环中白细胞介素1β浓度升高|血液循环中白细胞介素-1β浓度升高。
HP:6000375|Reduced neutrophil myeloperoxidase activity|中性粒细胞髓过氧化物酶活性降低|中性粒细胞中测得的髓过氧化物酶（EC 1.11.1.7）浓度或活性低于正常范围。
HP:6000376|Jugular foramen stenosis|颈静脉孔狭窄|颈静脉孔直径缩小，颈静脉孔是位于颅底的一个开口，位于颈动脉管后方，由颞骨和枕骨构成。岩下窦、三条脑神经、乙状窦和脑膜动脉均通过颈静脉孔。
HP:6000377|Intramural intestinal gas|肠壁内积气|肠壁内腔外气体存在。
HP:6000378|Delayed scintigraphic gallbladder filling|延迟胆囊闪烁显像充盈|肝胆闪烁显像是一种核医学成像技术，用于评估急性和慢性胆囊炎、胆道闭锁、胆道梗阻以及术后胆漏。在此检查中，放射性示踪剂经静脉注射，与白蛋白结合后转运至肝脏，并排泄至胆道系统。该术语指放射性示踪剂在胆囊中显影时间较正常延长。这一发现可能是慢性胆囊疾病或胆总管部分梗阻的征象。
HP:6000379|Pancreatic arteriovenous malformation|胰腺动静脉畸形|胰腺动静脉畸形被定义为一种异常的血管网络，由一条或多条供血动脉和扩张的早期引流静脉形成，从而产生动静脉分流。
HP:6000380|Anti-perilipin-1 antibody positivity|抗周脂蛋白-1抗体阳性|血清中存在与周脂蛋白-1（PLIN1）反应的自身抗体。
HP:6000381|Splenic calcification|脾钙化|钙化，即脾脏内钙盐的病理性沉积。
HP:6000382|Short esophagus|短食管|食管长度异常缩短。
HP:6000383|Gastric perforation|胃穿孔|胃壁全层损伤。
HP:6000384|Gastric volvulus|胃扭转|胃扭转是指胃沿其横轴或纵轴旋转至少180度。
HP:6000385|Elevated circulating soluble CD163 concentration|循环可溶性CD163浓度升高|循环血液中可溶性CD163浓度高于正常值上限。
HP:6000386|Positive cold agglutinin test|冷凝集素试验阳性|冷凝集素是一种红细胞抗体，其特性在于在低于37摄氏度的温度下能够凝集红细胞，此现象在加热后可逆。
HP:6000387|Anti-D-L antibody positivity|抗D-L抗体阳性|血清中存在Donath-Landsteiner（D-L）自身抗体（免疫球蛋白）。
HP:6000388|Anti-erythrocyte autoantibody positivity|抗红细胞自身抗体阳性|血液循环中存在针对红细胞（红细胞）表面抗原的抗体。
HP:6000389|Non-glucose reducing substance in urine|尿液中非葡萄糖还原物质|尿液中还原物质筛查试验异常结果，包括葡萄糖、果糖、半乳糖、乳糖、戊糖和麦芽糖，以及氨基酸、胱氨酸、酪氨酸、尿黑酸、酮体、抗坏血酸和多种药物。此术语适用于尿试纸条葡萄糖检测结果为阴性（正常）的情况。
HP:6000390|Elevated urinary succinylaminoimidazole carboxamide riboside level|尿液中琥珀酰氨基咪唑甲酰胺核苷水平升高|存在琥珀酰氨基咪唑甲酰胺核苷（SAICAr）。SAICAr是嘌呤合成的毒性中间代谢产物。
HP:6000391|Elevated urine hyaluronic acid level|尿透明质酸水平升高|尿液中透明质酸含量过高。
HP:6000392|Elevated urinary methylmalonylcarnitine level|尿甲基丙二酰肉碱水平升高|尿液中甲基丙二酰肉碱的浓度，经尿液浓度标准化后，高于正常值上限。
HP:6000393|Elevated urine trihydroxycholestanoic acid level|尿中三羟基胆甾烷酸水平升高|尿液中存在三羟基胆甾烷酸。三羟基胆甾烷酸是胆酸生物合成过程中的中间产物。在Zellweger综合征患者中，血浆三羟基胆甾烷酸水平升高。
HP:6000394|Elevated CSF ammonia concentration|脑脊液氨浓度升高|脑脊液（CSF）中氨浓度高于正常上限。
HP:6000395|Positive CSF VDRL test|脑脊液性病研究实验室试验阳性|脑脊液（CSF）中进行的性病研究实验室（VDRL）检测结果异常（阳性），提示既往或现症神经梅毒。
HP:6000396|Elevated CSF guanidinoacetic acid concentration|脑脊液胍基乙酸浓度升高|脑脊液（CSF）中胍基乙酸浓度高于正常上限。
HP:6000397|CSF oligoclonal immunoglobulin G bands|脑脊液寡克隆免疫球蛋白G带|寡克隆免疫球蛋白G（IgG）带（OCBs）是一种用于检测中枢体液反应的有用诊断工具。特别是，脑脊液（CSF）限制性OCBs是多发性硬化症（MS）的标志性特征。
HP:6000398|Decreased CSF 3-methoxy-4-hydroxyphenylglycolaldehyde concentration|脑脊液3-甲氧基-4-羟基苯乙二醇醛浓度降低|脑脊液（CSF）中3-甲氧基-4-羟基苯乙二醇醛的浓度低于正常下限。
HP:6000399|Elevated CSF alpha-crystallin B chain concentration|脑脊液α-晶状体蛋白B链浓度升高|脑脊液（CSF）中α-晶状体蛋白B链的浓度高于正常上限。
HP:6000400|Reduced CSF creatine concentration|脑脊液肌酸浓度降低|脑脊液（CSF）中肌酸浓度低于正常下限。
HP:6000401|Reduced circulating protein Z concentration|循环蛋白Z浓度降低|循环血液中蛋白质Z的浓度低于正常值下限。
HP:6000402|Elevated circulating 27-hydroxycholesterol concentration|循环27-羟基胆固醇浓度升高|血液循环中27-羟基胆固醇浓度高于正常上限。
HP:6000403|Elevated circulating lysophosphatidylcholine concentration|循环中溶血磷脂酰胆碱浓度升高|血液循环中溶血磷脂酰胆碱浓度高于正常值上限。
HP:6000404|Reduced circulating insulin-like growth factor 2 concentration|循环胰岛素样生长因子2浓度降低|血液循环中胰岛素样生长因子2（IGF2）的浓度低于正常下限。IGF2是一种调节多种细胞过程（如增殖和凋亡）的肽类激素。
HP:6000405|Decreased circulating nicotinamide adenine dinucleotide concentration|循环烟酰胺腺嘌呤二核苷酸浓度降低|血液循环中烟酰胺腺嘌呤二核苷酸浓度低于正常值下限。
HP:6000406|Diminished circulating reduced nicotinamide adenine dinucleotide (NADH) concentration|循环还原型烟酰胺腺嘌呤二核苷酸（NADH）浓度降低|血液循环中还原型烟酰胺腺嘌呤二核苷酸（NADH）浓度低于正常值下限。
HP:6000407|Elevated circulating fibroblast growth factor 23 concentration|循环成纤维细胞生长因子23浓度升高|循环血液中成纤维细胞生长因子23的浓度高于正常值上限。
HP:6000408|Reduced CSF asparagine concentration|脑脊液天冬酰胺浓度降低|脑脊液（CSF）中天冬酰胺浓度低于正常下限。
HP:6000409|Pancreatic mass|胰腺肿块|胰腺局部肿胀或增大。在诊断过程的早期阶段，在尚未确定肿胀的确切性质之前，通常使用“肿块”一词。
HP:6000410|Small intestine mass|小肠肿块|小肠局部肿胀或增大。在诊断工作初期，当肿胀的确切性质尚未确定时，通常使用“肿块”一词。
HP:6000411|Facial nerve compression|面神经压迫|血管等物体对面神经的压迫，导致受压区域神经体积减少。
HP:6000412|Pulmonary perfusion defect|肺灌注缺损|肺局部区域血流灌注不足。肺通气（V）与灌注（Q）扫描，亦称肺V/Q扫描，是一种核医学检查，通过灌注扫描描绘肺部血流分布，并通过通气扫描测量肺部气流分布。
HP:6000413|Ectopic ureteral orifice|异位输尿管口|单侧或双侧输尿管引流至异常位置。正常情况下，输尿管通过膀胱三角区的输尿管口引流。异位输尿管口可为膀胱内（膀胱颈）或更常见的膀胱外。女性异位多见于尿道和阴道前庭；较少见于阴道和子宫。男性异位多见于后尿道；男性生殖道异位极为罕见。
HP:6000414|Duplicate uterine cervix|双宫颈畸形|先天性发育缺陷，特征为子宫上存在双宫颈。
HP:6000415|Intradural spinal lipoma|硬膜内脊髓脂肪瘤|硬膜内脊髓脂肪瘤（Intradural Spinal Lipoma, ISL）约占所有脊髓肿瘤的1%，通常与腰骶部脊柱裂（Lumbo-sacral Spinal Dysraphism）相关。与脊柱裂无关的ISL较为罕见，文献中仅报道了少数病例。此类肿瘤多见于儿童和年轻成人，位于颈胸段或胸段脊髓的后侧。它们表现为硬膜内、软膜下、近髓质的病变。
HP:6000416|T2 hyperintense cerebellar lesion|小脑T2高信号病变|小脑磁共振成像（MRI）中T2信号较预期减弱。该术语指小脑特定区域出现的局部高信号。
HP:6000417|Inferior vena cava obstruction|下腔静脉阻塞|病理过程或静脉内血栓形成对下腔静脉的物理侵犯或压迫。
HP:6000418|Rheumatoid nodule|类风湿结节|界限清楚、肤色、皮下且通常可自由移动的肿块或肿物。类风湿结节的大小可从豌豆大小的病变至柠檬大小不等，通常呈圆形。结节通常呈面团样或坚硬，但无压痛。典型的类风湿结节分布于反复创伤或受压的区域，并出现在关节附近的伸肌表面，如肘部、手指和前臂。
HP:6000419|Elevated circulating proinsulin concentration|循环中前胰岛素浓度升高|循环血液中前胰岛素浓度高于正常值上限。
HP:6000420|Burning eye sensation|眼灼热感|眼部刺痛或刺激感。
HP:6000421|Collarettes|鳞屑性红斑|眼睑边缘蜡样肉色鳞屑堆积。
HP:6000422|Tympanic membrane bulla|鼓膜大疱|鼓膜上存在水疱（大疱），常伴有发热、鼓膜增厚和红斑样外观，光反射减弱或消失，以及活动度降低。
HP:6000423|Beard and mustache distribution|胡须和髭分布|适用于分布和外观位于男性面部胡须或髭须覆盖区域的异常。
HP:6000424|Kerion|脓癣|脓癣是一种红斑性、柔软、触痛、通常无菌、渗出的结节或斑块，伴有脓疱和引流窦道。该区域的毛发显得无光泽、脆弱且易拔除。脓癣可为单发或多发，但通常为单侧。炎症性须癣患者可能出现全身症状，如发热和不适。脓癣为融合的无菌性脓疱，但偶尔可继发皮肤细菌感染并出现局部淋巴结肿大。
HP:6000425|Truncal location|躯干位置|适用于位于（或主要位于）躯干的异常情况。躯干是人体的主要部分，不包括头部、腿部或手臂。
HP:6000426|Reduced Acyl-CoA:dihydroxyacetone phosphate acyltransferase activity in cultured fibroblasts|培养的成纤维细胞中酰基辅酶A：二羟基丙酮磷酸酰基转移酶活性降低|成纤维细胞培养物中酰基辅酶A：二羟丙酮磷酸酰基转移酶活性低于正常下限。
HP:6000427|Reduced alkyl-dihydroxyacetonephosphate synthase activity in cultured fibroblasts|培养的成纤维细胞中烷基二羟基丙酮磷酸合酶活性降低|成纤维细胞培养中烷基二羟基丙酮磷酸（DHAP）合酶活性低于正常下限。
HP:6000428|Glomerular fibronectin deposits|肾小球纤维连接蛋白沉积|肾小球内纤维连接蛋白的积聚。
HP:6000429|Renal tubular karyomegaly|肾小管核巨大症|主要在近曲小管细胞中观察到显著的核增大。
HP:6000430|Reduced tissue acetyl-CoA carboxylase activity|组织乙酰辅酶A羧化酶活性降低|乙酰辅酶A羧化酶在组织中的活性低于正常下限。该活性可在包括肝脏在内的多种组织中测量。
HP:6000431|Elevated urinary glycolic acid level|尿液中乙醇酸水平升高|尿液中经尿浓度校正后的乙醇酸含量高于正常值上限。
HP:6000432|Elevated urine propionic acid level|尿丙酸水平升高|尿液中丙酸浓度经尿液浓度校正后高于正常值上限。
HP:6000433|Elevated urinary butyric acid level|尿液中丁酸水平升高|尿液中丁酸含量经尿液浓度校正后高于正常上限。
HP:6000434|Elevated urinary isovaleric acid level|尿异戊酸水平升高|尿液中异戊酸浓度经尿液浓度校正后高于正常值上限。
HP:6000435|Elevated circulating alpha-ketoglutarate concentration|循环中α-酮戊二酸浓度升高|血液循环中α-酮戊二酸浓度高于正常值上限。
HP:6000436|Elevated circulating ghrelin concentration|循环中胃饥饿素浓度升高|循环血液中胃饥饿素（ghrelin）浓度高于正常上限。胃饥饿素是一种由28个氨基酸组成的肽类激素，主要在胃部分泌，具有刺激食欲和促进生长激素（growth hormone, GH）释放的作用。
HP:6000437|Reduced circulating stearoylcarnitine concentration|循环硬脂酰肉碱浓度降低|血液循环中硬脂酰肉碱（C18:0）浓度低于正常值下限。
HP:6000438|Reduced urinary iodine level|尿碘水平降低|尿碘浓度经尿液浓度校正后高于正常值上限。
HP:6000439|Increased circulating interleukin 15 concentration|循环中白细胞介素15浓度升高|循环血液中白细胞介素15（IL-15）浓度高于正常值上限。
HP:6000440|Reduced circulating squalene concentration|循环鲨烯浓度降低|血液循环中角鲨烯浓度低于正常值下限。
HP:6000441|Abnormal circulating interleukin 6 concentration|异常循环白细胞介素6浓度|血液循环中白细胞介素6（IL-6）浓度偏离正常范围的任何异常。
HP:6000442|Abnormal circulating interleukin 12 concentration|异常循环白细胞介素12浓度|血液中白细胞介素12浓度偏离正常范围的任何异常。
HP:6000443|Elevated blood mercury concentration|血汞浓度升高|血液中汞浓度高于总血汞浓度指导值的上限，提示可能存在有害影响。
HP:6000444|Elevated blood cadmiun concentration|血镉浓度升高|血液中镉浓度超过全血汞浓度指导值的上限，提示可能存在有害效应。
HP:6000445|Elevated thallium concentration|铊浓度升高|血液中铊的浓度超过了全血汞浓度指导值的上限，提示可能存在有害效应。
HP:6000446|Abnormal circulating CC chemokine concentration|异常循环CC趋化因子浓度|循环血液中CC趋化因子家族成员的浓度超出正常范围。
HP:6000447|Decreased CSF asialotransferrin to transferrin ratio|脑脊液去唾液酸转铁蛋白与转铁蛋白比值降低|脑脊液（CSF）中无唾液酸转铁蛋白相对于转铁蛋白的浓度低于正常下限。
HP:6000448|Anti-desmocollin antibody positivity|抗桥粒芯蛋白抗体阳性|血清中存在针对桥粒芯糖蛋白的自体抗体（免疫球蛋白）。
HP:6000449|Occupational exposure to raw nonsynthetic textiles|职业性接触原生态非合成纺织品|吸入性暴露史，涉及在加工未经合成的纺织品（特别是棉花）过程中产生的空气悬浮颗粒。典型情况下，在纺纱和制造过程中暴露于棉尘会导致棉尘病（byssinosis）。然而，暴露于黄麻、亚麻和大麻纤维也被认为与该病的发生有关。
HP:6000450|Rokitansky-Aschoff gallbladder sinuses|罗基坦斯基-阿肖夫胆囊窦|局部或弥漫性上皮增生伴肌层肥大及黏膜通过肌层内陷，形成壁内憩室（即胆囊壁内的小而突出的囊袋）。
HP:6000451|Porcelain gallbladder|瓷胆囊|瓷胆囊（Porcelain gallbladder）是指胆囊内壁被钙质沉积所覆盖的病理状态。胆囊壁因此变得脆弱、硬化，并常呈现蓝灰色。该病症通常是在腹部平片或其他影像学检查中偶然发现的，因为大多数患者并无明显症状。
HP:6000452|Gallbladder adhesions|胆囊粘连|胆囊与另一腹部结构之间形成的异常连接的瘢痕组织束。粘连可在胆囊炎症（胆囊炎）后形成。
HP:6000453|Bilioduodenal fistula|胆道十二指肠瘘|胆囊与十二指肠之间的异常连接。
HP:6000454|Pneumobilia|气胆症|胆道积气。
HP:6000455|Ectopic gallstone|异位胆结石|胆囊外胆结石
HP:6000456|Sleep drunkeness|睡眠惯性（Sleep Inertia）|睡眠醉酒状态（Sleep drunkenness）是指从夜间睡眠和日间小睡中觉醒时出现的持续且显著的困难。该症状应与即使在健康对照者中也能观察到的较轻且生理性的睡眠惯性（Sleep inertia）相鉴别。
HP:6000457|Mallory bodies|马洛里小体|肝细胞胞质内透明包涵体，主要为丝状结构，直径范围为3至24纳米，而经典中间丝（IF）直径为10纳米。Mallory-Denk小体可分为I型（平行排列的丝状结构）、II型（随机排列的丝状结构）或III型（颗粒状和无定形结构）。II型主要出现在外周区域，而III型则出现在中心区域。Mallory-Denk小体见于气球样变的肝细胞中。
HP:6000458|Sulfur-containing abscess|含硫脓肿|含有微小黄色团块（硫磺颗粒）的脓肿，由放线菌感染形成，通常与肉芽肿性和化脓性感染相关。
HP:6000459|Retracted tympanic membrane|鼓膜内陷|一种情况，其中部分鼓膜被拉回至中耳腔（也称为回缩袋）。
HP:6000460|Ectopic testis|异位睾丸|睾丸异位于阴囊以外的解剖位置。
HP:6000461|Cerebral subcortical cyst|脑皮质下囊肿|大脑皮层下方区域内的液性囊性病变（囊肿）。在磁共振成像中，囊肿内的液体与脑脊液（CSF）呈现相同的影像学特征。
HP:6000462|Anti-ADAMTS13 antibody positivity|抗ADAMTS13抗体阳性|血液循环中存在针对具有血小板反应蛋白1型重复序列的解整合素样金属蛋白酶13（ADAMTS13）的自身抗体（免疫球蛋白）。
